0,53,53,57,58,64,51,55,57,54,52,53,51,51,49,56,56,53,56,42,52,57,43,51,44,54,41,54,51,50,59,46,51,66,47,58,47,39,49,44,39
53,0,47,52,61,66,49,58,54,56,55,54,52,46,52,54,59,56,54,50,59,52,54,55,56,59,48,59,48,52,61,43,55,68,54,58,52,48,59,55,50
53,47,0,53,57,63,46,55,49,53,52,51,48,46,52,53,56,55,51,49,57,48,52,55,56,57,48,56,47,47,59,42,54,67,52,57,50,46,58,54,51
57,52,53,0,62,67,50,61,55,60,58,56,55,49,56,53,61,58,48,54,62,57,57,59,60,62,53,62,51,54,63,43,59,71,57,61,56,52,62,59,56
58,61,57,62,0,63,53,55,60,60,57,48,51,54,56,60,56,59,59,55,60,60,58,60,61,61,54,61,55,48,58,49,59,70,57,64,56,53,62,58,57
64,66,63,67,63,0,60,60,63,65,61,60,60,59,63,66,62,65,63,61,64,64,63,65,66,66,60,65,60,57,55,55,64,72,62,64,61,59,67,63,63
51,49,46,50,53,60,0,53,50,54,49,46,47,41,49,49,53,52,45,45,52,50,49,54,53,55,45,55,43,44,56,37,52,65,49,58,47,43,55,51,49
55,58,55,61,55,60,53,0,58,59,55,49,50,52,55,59,53,59,57,53,58,58,55,59,58,59,52,60,53,47,57,47,58,69,55,62,53,51,59,55,54
57,54,49,55,60,63,50,58,0,60,56,54,53,49,57,54,58,59,48,55,59,49,57,59,60,61,53,60,49,52,60,46,59,70,57,63,56,52,62,58,57
54,56,53,60,60,65,54,59,60,0,49,56,53,54,50,60,60,56,59,50,58,59,53,53,56,55,51,53,55,53,62,49,51,64,52,59,49,48,58,55,52
52,55,52,58,57,61,49,55,56,49,0,53,50,51,48,57,57,51,54,47,54,55,50,51,53,51,48,45,51,49,58,46,45,61,46,57,43,45,55,51,50
53,54,51,56,48,60,46,49,54,56,53,0,46,47,52,54,51,54,52,49,55,55,52,57,56,58,48,58,49,42,54,42,55,68,52,60,51,47,58,53,51
51,52,48,55,51,60,47,50,53,53,50,46,0,47,50,55,52,53,53,46,55,53,50,54,54,55,46,55,48,42,56,41,52,66,49,57,48,44,56,52,49
51,46,46,49,54,59,41,52,49,54,51,47,47,0,48,46,52,51,46,46,54,49,50,53,53,55,46,55,38,45,55,35,52,65,49,56,48,44,55,50,49
49,52,52,56,56,63,49,55,57,50,48,52,50,48,0,56,56,48,55,45,54,57,46,51,50,49,45,51,50,49,59,44,47,61,45,57,42,43,53,49,47
56,54,53,53,60,66,49,59,54,60,57,54,55,46,56,0,58,58,50,54,60,56,57,57,59,62,53,61,47,52,61,45,58,71,58,62,55,52,61,58,55
56,59,56,61,56,62,53,53,58,60,57,51,52,52,56,58,0,59,57,53,59,60,57,59,58,60,52,61,53,44,58,47,58,69,55,63,55,51,60,55,55
53,56,55,58,59,65,52,59,59,56,51,54,53,51,48,58,59,0,57,46,55,59,47,55,53,55,47,56,53,53,60,49,52,67,48,61,49,46,56,54,51
56,54,51,48,59,63,45,57,48,59,54,52,53,46,55,50,57,57,0,53,58,53,55,58,58,59,52,59,46,51,60,42,56,69,55,61,53,50,60,56,55
42,50,49,54,55,61,45,53,55,50,47,49,46,46,45,54,53,46,53,0,51,54,41,49,44,51,35,53,48,44,56,39,47,64,41,56,43,31,49,46,38
52,59,57,62,60,64,52,58,59,58,54,55,55,54,54,60,59,55,58,51,0,60,51,57,52,58,51,57,54,53,60,50,55,67,52,63,51,50,55,50,52
57,52,48,57,60,64,50,58,49,59,55,55,53,49,57,56,60,59,53,54,60,0,57,59,60,61,53,60,50,53,61,48,58,69,57,61,55,52,61,57,56
43,54,52,57,58,63,49,55,57,53,50,52,50,50,46,57,57,47,55,41,51,57,0,52,45,52,42,53,50,50,58,46,49,65,43,58,44,39,50,47,44
51,55,55,59,60,65,54,59,59,53,51,57,54,53,51,57,59,55,58,49,57,59,52,0,54,56,48,51,54,53,61,48,45,65,52,59,46,47,57,54,49
44,56,56,60,61,66,53,58,60,56,53,56,54,53,50,59,58,53,58,44,52,60,45,54,0,55,39,56,52,53,61,49,51,67,47,60,46,44,43,43,42
54,59,57,62,61,66,55,59,61,55,51,58,55,55,49,62,60,55,59,51,58,61,52,56,55,0,52,53,55,54,62,51,52,55,49,61,48,48,57,54,54
41,48,48,53,54,60,45,52,53,51,48,48,46,46,45,53,52,47,52,35,51,53,42,48,39,52,0,53,46,43,55,38,47,65,44,55,43,33,48,44,38
54,59,56,62,61,65,55,60,60,53,45,58,55,55,51,61,61,56,59,53,57,60,53,51,56,53,53,0,56,55,61,52,45,63,50,60,43,50,59,55,54
51,48,47,51,55,60,43,53,49,55,51,49,48,38,50,47,53,53,46,48,54,50,50,54,52,55,46,56,0,46,57,37,53,65,50,58,48,45,55,52,49
50,52,47,54,48,57,44,47,52,53,49,42,42,45,49,52,44,53,51,44,53,53,50,53,53,54,43,55,46,0,52,35,52,65,49,56,47,41,55,50,47
59,61,59,63,58,55,56,57,60,62,58,54,56,55,59,61,58,60,60,56,60,61,58,61,61,62,55,61,57,52,0,51,60,69,58,63,56,54,62,59,58
46,43,42,43,49,55,37,47,46,49,46,42,41,35,44,45,47,49,42,39,50,48,46,48,49,51,38,52,37,35,51,0,48,63,45,52,43,35,52,47,43
51,55,54,59,59,64,52,58,59,51,45,55,52,52,47,58,58,52,56,47,55,58,49,45,51,52,47,45,53,52,60,48,0,64,45,58,34,45,54,51,48
66,68,67,71,70,72,65,69,70,64,61,68,66,65,61,71,69,67,69,64,67,69,65,65,67,55,65,63,65,65,69,63,64,0,64,67,62,62,68,65,66
47,54,52,57,57,62,49,55,57,52,46,52,49,49,45,58,55,48,55,41,52,57,43,52,47,49,44,50,50,49,58,45,45,64,0,59,39,39,50,46,46
58,58,57,61,64,64,58,62,63,59,57,60,57,56,57,62,63,61,61,56,63,61,58,59,60,61,55,60,58,56,63,52,58,67,59,0,55,54,61,59,57
47,52,50,56,56,61,47,53,56,49,43,51,48,48,42,55,55,49,53,43,51,55,44,46,46,48,43,43,48,47,56,43,34,62,39,55,0,40,50,46,44
39,48,46,52,53,59,43,51,52,48,45,47,44,44,43,52,51,46,50,31,50,52,39,47,44,48,33,50,45,41,54,35,45,62,39,54,40,0,49,43,37
49,59,58,62,62,67,55,59,62,58,55,58,56,55,53,61,60,56,60,49,55,61,50,57,43,57,48,59,55,55,62,52,54,68,50,61,50,49,0,42,47
44,55,54,59,58,63,51,55,58,55,51,53,52,50,49,58,55,54,56,46,50,57,47,54,43,54,44,55,52,50,59,47,51,65,46,59,46,43,42,0,45
39,50,51,56,57,63,49,54,57,52,50,51,49,49,47,55,55,51,55,38,52,56,44,49,42,54,38,54,49,47,58,43,48,66,46,57,44,37,47,45,0
